"Date,Product_ID,Product_Name,Units_Sold,Price_Per_Unit,Revenue,Ending_Inventory_Count",Date,Product_ID,Product_Name,Units_Sold,Price_Per_Unit,Revenue,Ending_Inventory_Count
"2026-08-05,PROD_B,Mechanical Keyboard,33,129.99,4289.67,135",2026-08-05,PROD_B,Mechanical Keyboard,33,129.99,4289.67,135
"2026-08-05,PROD_C,Ergonomic Mouse,63,49.99,3149.37,162",2026-08-05,PROD_C,Ergonomic Mouse,63,49.99,3149.37,162
"2026-08-06,PROD_A,Wireless Headphones,50,89.99,4499.50,106",2026-08-06,PROD_A,Wireless Headphones,50,89.99,4499.50,106
"2026-08-06,PROD_B,Mechanical Keyboard,30,129.99,3899.70,105",2026-08-06,PROD_B,Mechanical Keyboard,30,129.99,3899.70,105
"2026-08-06,PROD_C,Ergonomic Mouse,71,49.99,3549.29,91",2026-08-06,PROD_C,Ergonomic Mouse,71,49.99,3549.29,91
"2026-08-07,PROD_A,Wireless Headphones,68,89.99,6119.32,238",2026-08-07,PROD_A,Wireless Headphones,68,89.99,6119.32,238
"2026-08-07,PROD_B,Mechanical Keyboard,45,129.99,5849.55,210",2026-08-07,PROD_B,Mechanical Keyboard,45,129.99,5849.55,210
"2026-08-07,PROD_C,Ergonomic Mouse,94,49.99,4699.06,297",2026-08-07,PROD_C,Ergonomic Mouse,94,49.99,4699.06,297
"2026-08-08,PROD_A,Wireless Headphones,73,89.99,6569.27,165",2026-08-08,PROD_A,Wireless Headphones,73,89.99,6569.27,165
"2026-08-08,PROD_B,Mechanical Keyboard,41,129.99,5329.59,169",2026-08-08,PROD_B,Mechanical Keyboard,41,129.99,5329.59,169
"2026-08-08,PROD_C,Ergonomic Mouse,88,49.99,4399.12,209",2026-08-08,PROD_C,Ergonomic Mouse,88,49.99,4399.12,209
"2026-08-09,PROD_A,Wireless Headphones,35,89.99,3149.65,130",2026-08-09,PROD_A,Wireless Headphones,35,89.99,3149.65,130
"2026-08-09,PROD_B,Mechanical Keyboard,22,129.99,2859.78,147",2026-08-09,PROD_B,Mechanical Keyboard,22,129.99,2859.78,147
"2026-08-09,PROD_C,Ergonomic Mouse,51,49.99,2549.49,158",2026-08-09,PROD_C,Ergonomic Mouse,51,49.99,2549.49,158
"2026-08-10,PROD_A,Wireless Headphones,44,89.99,3959.56,86",2026-08-10,PROD_A,Wireless Headphones,44,89.99,3959.56,86
"2026-08-10,PROD_B,Mechanical Keyboard,26,129.99,3379.74,121",2026-08-10,PROD_B,Mechanical Keyboard,26,129.99,3379.74,121
"2026-08-10,PROD_C,Ergonomic Mouse,60,49.99,2999.40,98",2026-08-10,PROD_C,Ergonomic Mouse,60,49.99,2999.40,98
"2026-08-11,PROD_A,Wireless Headphones,49,89.99,4409.51,237",2026-08-11,PROD_A,Wireless Headphones,49,89.99,4409.51,237
"2026-08-11,PROD_B,Mechanical Keyboard,29,129.99,3769.71,242",2026-08-11,PROD_B,Mechanical Keyboard,29,129.99,3769.71,242
"2026-08-11,PROD_C,Ergonomic Mouse,67,49.99,3349.33,281",2026-08-11,PROD_C,Ergonomic Mouse,67,49.99,3349.33,281
"2026-08-12,PROD_A,Wireless Headphones,52,89.99,4679.48,185",2026-08-12,PROD_A,Wireless Headphones,52,89.99,4679.48,185
"2026-08-12,PROD_B,Mechanical Keyboard,34,129.99,4419.66,208",2026-08-12,PROD_B,Mechanical Keyboard,34,129.99,4419.66,208
"2026-08-12,PROD_C,Ergonomic Mouse,70,49.99,3499.30,211",2026-08-12,PROD_C,Ergonomic Mouse,70,49.99,3499.30,211
"2026-08-13,PROD_A,Wireless Headphones,46,89.99,4139.54,139",2026-08-13,PROD_A,Wireless Headphones,46,89.99,4139.54,139
"2026-08-13,PROD_B,Mechanical Keyboard,31,129.99,4029.69,177",2026-08-13,PROD_B,Mechanical Keyboard,31,129.99,4029.69,177
"2026-08-13,PROD_C,Ergonomic Mouse,64,49.99,3199.36,147",2026-08-13,PROD_C,Ergonomic Mouse,64,49.99,3199.36,147
"2026-08-14,PROD_A,Wireless Headphones,70,89.99,6299.30,69",2026-08-14,PROD_A,Wireless Headphones,70,89.99,6299.30,69
"2026-08-14,PROD_B,Mechanical Keyboard,48,129.99,6239.52,129",2026-08-14,PROD_B,Mechanical Keyboard,48,129.99,6239.52,129
"2026-08-14,PROD_C,Ergonomic Mouse,91,49.99,4549.09,56",2026-08-14,PROD_C,Ergonomic Mouse,91,49.99,4549.09,56
"2026-08-15,PROD_A,Wireless Headphones,77,89.99,6929.23,192",2026-08-15,PROD_A,Wireless Headphones,77,89.99,6929.23,192
"2026-08-15,PROD_B,Mechanical Keyboard,52,129.99,6759.48,227",2026-08-15,PROD_B,Mechanical Keyboard,52,129.99,6759.48,227
"2026-08-15,PROD_C,Ergonomic Mouse,99,49.99,4949.01,207",2026-08-15,PROD_C,Ergonomic Mouse,99,49.99,4949.01,207
"2026-08-16,PROD_A,Wireless Headphones,40,89.99,3599.60,152",2026-08-16,PROD_A,Wireless Headphones,40,89.99,3599.60,152
"2026-08-16,PROD_B,Mechanical Keyboard,25,129.99,3249.75,202",2026-08-16,PROD_B,Mechanical Keyboard,25,129.99,3249.75,202
"2026-08-16,PROD_C,Ergonomic Mouse,55,49.99,2749.45,152",2026-08-16,PROD_C,Ergonomic Mouse,55,49.99,2749.45,152
"2026-08-17,PROD_A,Wireless Headphones,43,89.99,3869.57,109",2026-08-17,PROD_A,Wireless Headphones,43,89.99,3869.57,109
"2026-08-17,PROD_B,Mechanical Keyboard,27,129.99,3509.73,175",2026-08-17,PROD_B,Mechanical Keyboard,27,129.99,3509.73,175
"2026-08-17,PROD_C,Ergonomic Mouse,62,49.99,3099.38,90",2026-08-17,PROD_C,Ergonomic Mouse,62,49.99,3099.38,90
"2026-08-18,PROD_A,Wireless Headphones,51,89.99,4589.49,58",2026-08-18,PROD_A,Wireless Headphones,51,89.99,4589.49,58
"2026-08-18,PROD_B,Mechanical Keyboard,32,129.99,4159.68,143",2026-08-18,PROD_B,Mechanical Keyboard,32,129.99,4159.68,143
"2026-08-18,PROD_C,Ergonomic Mouse,68,49.99,3399.32,222",2026-08-18,PROD_C,Ergonomic Mouse,68,49.99,3399.32,222
"2026-08-19,PROD_A,Wireless Headphones,47,89.99,4229.53,211",2026-08-19,PROD_A,Wireless Headphones,47,89.99,4229.53,211
"2026-08-19,PROD_B,Mechanical Keyboard,28,129.99,3639.72,115",2026-08-19,PROD_B,Mechanical Keyboard,28,129.99,3639.72,115
"2026-08-19,PROD_C,Ergonomic Mouse,66,49.99,3299.34,156",2026-08-19,PROD_C,Ergonomic Mouse,66,49.99,3299.34,156
"2026-08-20,PROD_A,Wireless Headphones,53,89.99,4769.47,158",2026-08-20,PROD_A,Wireless Headphones,53,89.99,4769.47,158
"2026-08-20,PROD_B,Mechanical Keyboard,36,129.99,4679.64,79",2026-08-20,PROD_B,Mechanical Keyboard,36,129.99,4679.64,79
"2026-08-20,PROD_C,Ergonomic Mouse,73,49.99,3649.27,83",2026-08-20,PROD_C,Ergonomic Mouse,73,49.99,3649.27,83
"2026-08-21,PROD_A,Wireless Headphones,72,89.99,6479.28,86",2026-08-21,PROD_A,Wireless Headphones,72,89.99,6479.28,86
"2026-08-21,PROD_B,Mechanical Keyboard,44,129.99,5719.56,185",2026-08-21,PROD_B,Mechanical Keyboard,44,129.99,5719.56,185
"2026-08-21,PROD_C,Ergonomic Mouse,89,49.99,4449.11,244",2026-08-21,PROD_C,Ergonomic Mouse,89,49.99,4449.11,244
"2026-08-22,PROD_A,Wireless Headphones,81,89.99,7289.19,205",2026-08-22,PROD_A,Wireless Headphones,81,89.99,7289.19,205
"2026-08-22,PROD_B,Mechanical Keyboard,50,129.99,6499.50,135",2026-08-22,PROD_B,Mechanical Keyboard,50,129.99,6499.50,135
"2026-08-22,PROD_C,Ergonomic Mouse,95,49.99,4749.05,149",2026-08-22,PROD_C,Ergonomic Mouse,95,49.99,4749.05,149
"2026-08-23,PROD_A,Wireless Headphones,39,89.99,3509.61,166",2026-08-23,PROD_A,Wireless Headphones,39,89.99,3509.61,166
"2026-08-23,PROD_B,Mechanical Keyboard,21,129.99,2729.79,114",2026-08-23,PROD_B,Mechanical Keyboard,21,129.99,2729.79,114
"2026-08-23,PROD_C,Ergonomic Mouse,54,49.99,2699.46,95",2026-08-23,PROD_C,Ergonomic Mouse,54,49.99,2699.46,95
"2026-08-24,PROD_A,Wireless Headphones,45,89.99,4049.55,121",2026-08-24,PROD_A,Wireless Headphones,45,89.99,4049.55,121
"2026-08-24,PROD_B,Mechanical Keyboard,29,129.99,3769.71,85",2026-08-24,PROD_B,Mechanical Keyboard,29,129.99,3769.71,85
"2026-08-24,PROD_C,Ergonomic Mouse,61,49.99,3049.39,234",2026-08-24,PROD_C,Ergonomic Mouse,61,49.99,3049.39,234
"2026-08-25,PROD_A,Wireless Headphones,50,89.99,4499.50,71",2026-08-25,PROD_A,Wireless Headphones,50,89.99,4499.50,71
"2026-08-25,PROD_B,Mechanical Keyboard,31,129.99,4029.69,204",2026-08-25,PROD_B,Mechanical Keyboard,31,129.99,4029.69,204
"2026-08-25,PROD_C,Ergonomic Mouse,69,49.99,3449.31,165",2026-08-25,PROD_C,Ergonomic Mouse,69,49.99,3449.31,165
"2026-08-26,PROD_A,Wireless Headphones,54,89.99,4859.46,217",2026-08-26,PROD_A,Wireless Headphones,54,89.99,4859.46,217
"2026-08-26,PROD_B,Mechanical Keyboard,35,129.99,4549.65,169",2026-08-26,PROD_B,Mechanical Keyboard,35,129.99,4549.65,169
"2026-08-26,PROD_C,Ergonomic Mouse,74,49.99,3699.26,91",2026-08-26,PROD_C,Ergonomic Mouse,74,49.99,3699.26,91
"2026-08-27,PROD_A,Wireless Headphones,48,89.99,4319.52,169",2026-08-27,PROD_A,Wireless Headphones,48,89.99,4319.52,169
"2026-08-27,PROD_B,Mechanical Keyboard,33,129.99,4289.67,136",2026-08-27,PROD_B,Mechanical Keyboard,33,129.99,4289.67,136
"2026-08-27,PROD_C,Ergonomic Mouse,67,49.99,3349.33,224",2026-08-27,PROD_C,Ergonomic Mouse,67,49.99,3349.33,224
"2026-08-28,PROD_A,Wireless Headphones,69,89.99,6209.31,100",2026-08-28,PROD_A,Wireless Headphones,69,89.99,6209.31,100
"2026-08-28,PROD_B,Mechanical Keyboard,46,129.99,5979.54,90",2026-08-28,PROD_B,Mechanical Keyboard,46,129.99,5979.54,90
"2026-08-28,PROD_C,Ergonomic Mouse,92,49.99,4599.08,132",2026-08-28,PROD_C,Ergonomic Mouse,92,49.99,4599.08,132
"2026-08-29,PROD_A,Wireless Headphones,75,89.99,6749.25,225",2026-08-29,PROD_A,Wireless Headphones,75,89.99,6749.25,225
"2026-08-29,PROD_B,Mechanical Keyboard,49,129.99,6369.51,241",2026-08-29,PROD_B,Mechanical Keyboard,49,129.99,6369.51,241
"2026-08-29,PROD_C,Ergonomic Mouse,97,49.99,4849.03,235",2026-08-29,PROD_C,Ergonomic Mouse,97,49.99,4849.03,235
"2026-08-30,PROD_A,Wireless Headphones,37,89.99,3329.63,188",2026-08-30,PROD_A,Wireless Headphones,37,89.99,3329.63,188
"2026-08-30,PROD_B,Mechanical Keyboard,23,129.99,2989.77,218",2026-08-30,PROD_B,Mechanical Keyboard,23,129.99,2989.77,218
"2026-08-30,PROD_C,Ergonomic Mouse,52,49.99,2599.48,183",2026-08-30,PROD_C,Ergonomic Mouse,52,49.99,2599.48,183
